epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6848.7,0.43648,0.44597,0.95069,0.96005,0.94288,0.98289,0.92223,0.32432,0.28138,0.89439,0.000198125,0.000198125,0.000198125
87,6926.75,0.43737,0.44642,0.95895,0.97554,0.93981,0.98141,0.92578,0.33597,0.27335,0.9036,0.00018575,0.00018575,0.00018575
88,7005,0.42814,0.4281,0.94901,0.9674,0.95007,0.9836,0.92503,0.3382,0.27221,0.90008,0.000173375,0.000173375,0.000173375
89,7083.61,0.42704,0.42971,0.95072,0.97358,0.94651,0.98403,0.93104,0.33004,0.25387,0.89203,0.000161,0.000161,0.000161
90,7163.21,0.42032,0.41966,0.94767,0.95848,0.94507,0.98658,0.93283,0.32122,0.25262,0.88879,0.000148625,0.000148625,0.000148625
91,7244.86,0.31723,0.27821,0.88412,0.97415,0.94222,0.98619,0.93091,0.32673,0.25508,0.89063,0.00013625,0.00013625,0.00013625
92,7322.97,0.3102,0.26234,0.87291,0.97461,0.94398,0.985,0.93289,0.3179,0.24992,0.88345,0.000123875,0.000123875,0.000123875
93,7401.08,0.30249,0.25445,0.86819,0.98026,0.93243,0.98544,0.93262,0.33203,0.26036,0.89092,0.0001115,0.0001115,0.0001115
94,7478.41,0.2929,0.24607,0.86444,0.9697,0.95449,0.987,0.93805,0.31782,0.24787,0.88501,9.9125e-05,9.9125e-05,9.9125e-05
95,7559.18,0.29427,0.24265,0.8641,0.97829,0.9483,0.98866,0.93949,0.31097,0.24413,0.88342,8.675e-05,8.675e-05,8.675e-05
96,7640.61,0.28592,0.23415,0.85888,0.9688,0.96501,0.98581,0.93708,0.3151,0.23832,0.88635,7.4375e-05,7.4375e-05,7.4375e-05
97,7718.61,0.28584,0.23486,0.86976,0.96287,0.96461,0.98793,0.93654,0.32035,0.247,0.88741,6.2e-05,6.2e-05,6.2e-05
98,7796.08,0.28058,0.22511,0.85364,0.9578,0.96062,0.98685,0.93616,0.31652,0.25915,0.88832,4.9625e-05,4.9625e-05,4.9625e-05
99,7873.5,0.28018,0.22814,0.85987,0.9636,0.96599,0.98801,0.93784,0.3099,0.23809,0.87918,3.725e-05,3.725e-05,3.725e-05
100,7951.33,0.27626,0.21931,0.8604,0.98919,0.94177,0.98766,0.93846,0.31238,0.24962,0.88509,2.4875e-05,2.4875e-05,2.4875e-05
